shareholder_name,number,own_(%),Bank
Dragon Financial holdings (DC),"233,696,250",6.9,ACB
Ngân hàng nhà nước,"4,096,736,597",81.0,BID
"KEB Hana Bank, Co., Ltd.","758,773,813",15.0,BID
Ngân hàng nhà nước,"3,097,944,536",64.5,CTG
Bank of Tokyo - Mitsubishi UFJ (BTMU),"948,153,878",19.7,CTG
Sumitomo Mitsui Banking Corporation,"222,395,048",15.1,EIB
Công ty cổ phần Sovico,"262,005,967",10.4,HDB
Tổng Công ty Bưu điện Việt Nam,"140,501,646",8.1,LPB
Tập đoàn Công nghiệp - Viễn thông Quân đội,"635,122,927",14.0,MBB
SCIC,"423,415,285",9.3,MBB
Tổng Công ty Trực thăng Việt Nam,"371,443,176",8.2,MBB
Tổng Công ty Tân Cảng Sài Gòn,"326,933,265",7.2,MBB
Tập đoàn Bưu chính viễn thông Việt Nam,"145,158,440",7.3,MSB
CTCP Đầu tư Phát triển Bất động sản Thành Vinh,"106,652,730",5.3,MSB
"AOZORA BANK, LTD","205,482,440",15.0,OCB
CÔNG TY TNHH PHÁT TRIỂN VÀ ĐẦU TƯ PHÚ MỸ,"103,343,307",5.1,SSB
MASAN Group,"524,315,499",14.9,TCB
Tập đoàn Gelex,"186,307,668",11.8,TPB
CTCP FPT,"107,119,461",6.8,TPB
Công ty cổ phần Tập đoàn Vàng bạc đá quý DOJI,"93,824,624",5.9,TPB
Ngân hàng nhà nước,"3,540,074,921",74.8,VCB
Mizuho Corporate Bank Ltd,"709,883,374",15.0,VCB
Commonwealth Bank of Australia,"355,380,756",16.9,VIB
