season,value,group,bank
1-2022,"370,927,945,000",nhom-1,ACB
1-2022,"1,607,411,000",nhom-2,ACB
1-2022,"273,424,000",nhom-3,ACB
1-2022,"911,934,000",nhom-4,ACB
1-2022,"1,933,879,000",nhom-5,ACB
1-2022,"1,384,379,024,000",nhom-1,BID
1-2022,"19,744,661,000",nhom-2,BID
1-2022,"2,276,244,000",nhom-3,BID
1-2022,"2,770,462,000",nhom-4,BID
1-2022,"8,683,756,000",nhom-5,BID
1-2022,"1,200,713,556,000",nhom-1,CTG
1-2022,"13,543,998,000",nhom-2,CTG
1-2022,"6,232,412,000",nhom-3,CTG
1-2022,"1,993,653,000",nhom-4,CTG
1-2022,"7,095,479,000",nhom-5,CTG
1-2022,"119,142,805,000",nhom-1,EIB
1-2022,"989,603,000",nhom-2,EIB
1-2022,"171,574,000",nhom-3,EIB
1-2022,"811,257,000",nhom-4,EIB
1-2022,"1,438,032,000",nhom-5,EIB
1-2022,"215,939,616,000",nhom-1,HDB
1-2022,"5,673,591,000",nhom-2,HDB
1-2022,"835,798,000",nhom-3,HDB
1-2022,"2,033,944,000",nhom-4,HDB
1-2022,"670,946,000",nhom-5,HDB
1-2022,"204,527,717,000",nhom-1,LVB
1-2022,"1,648,901,000",nhom-2,LVB
1-2022,"419,537,000",nhom-3,LVB
1-2022,"1,041,655,000",nhom-4,LVB
1-2022,"1,316,326,000",nhom-5,LVB
1-2022,"398,978,438,000",nhom-1,MBB
1-2022,"4,859,334,000",nhom-2,MBB
1-2022,"1,322,871,000",nhom-3,MBB
1-2022,"1,538,168,000",nhom-4,MBB
1-2022,"1,268,903,000",nhom-5,MBB
1-2022,"107,807,308,000",nhom-1,MSB
1-2022,"794,003,000",nhom-2,MSB
1-2022,"324,140,000",nhom-3,MSB
1-2022,"548,133,000",nhom-4,MSB
1-2022,"1,104,921,000",nhom-5,MSB
1-2022,"98,821,266,769",nhom-1,OCB
1-2022,"4,601,685,822",nhom-2,OCB
1-2022,"583,648,806",nhom-3,OCB
1-2022,"698,474,239",nhom-4,OCB
1-2022,"1,011,289,104",nhom-5,OCB
1-2022,"406,026,948,000",nhom-1,STB
1-2022,"1,701,702,000",nhom-2,STB
1-2022,"318,797,000",nhom-3,STB
1-2022,"677,263,000",nhom-4,STB
1-2022,"4,303,112,000",nhom-5,STB
1-2022,"125,274,231,000",nhom-1,SSB
1-2022,"209,319,000",nhom-2,SSB
1-2022,"345,515,000",nhom-3,SSB
1-2022,"331,680,000",nhom-4,SSB
1-2022,"1,427,414,000",nhom-5,SSB
1-2022,"361,122,209,000",nhom-1,TCB
1-2022,"2,178,609,000",nhom-2,TCB
1-2022,"510,052,000",nhom-3,TCB
1-2022,"1,120,846,000",nhom-4,TCB
1-2022,"810,920,000",nhom-5,TCB
1-2022,"137,993,967,000",nhom-1,TPB
1-2022,"2,077,054,000",nhom-2,TPB
1-2022,"510,516,000",nhom-3,TPB
1-2022,"348,890,000",nhom-4,TPB
1-2022,"297,430,000",nhom-5,TPB
1-2022,"1,015,997,915,000",nhom-1,VCB
1-2022,"4,529,344,000",nhom-2,VCB
1-2022,"1,459,318,000",nhom-3,VCB
1-2022,"1,692,859,000",nhom-4,VCB
1-2022,"5,220,308,000",nhom-5,VCB
1-2022,"338,024,077,000",nhom-1,VPB
1-2022,"18,339,084,000",nhom-2,VPB
1-2022,"6,339,355,000",nhom-3,VPB
1-2022,"9,795,313,000",nhom-4,VPB
1-2022,"1,959,229,000",nhom-5,VPB
2-2022,"387,687,497,000",nhom-1,ACB
2-2022,"1,505,941,000",nhom-2,ACB
2-2022,"269,314,000",nhom-3,ACB
2-2022,"538,725,000",nhom-4,ACB
2-2022,"2,190,149,000",nhom-5,ACB
2-2022,"1,450,588,098,000",nhom-1,BID
2-2022,"17,311,539,000",nhom-2,BID
2-2022,"4,071,228,000",nhom-3,BID
2-2022,"2,463,819,000",nhom-4,BID
2-2022,"8,604,080,000",nhom-5,BID
2-2022,"1,206,354,542,000",nhom-1,CTG
2-2022,"15,452,498,000",nhom-2,CTG
2-2022,"3,338,484,000",nhom-3,CTG
2-2022,"1,474,814,000",nhom-4,CTG
2-2022,"11,862,942,000",nhom-5,CTG
2-2022,"120,938,871,000",nhom-1,EIB
2-2022,"1,245,636,000",nhom-2,EIB
2-2022,"208,628,000",nhom-3,EIB
2-2022,"282,911,000",nhom-4,EIB
2-2022,"1,852,070,000",nhom-5,EIB
2-2022,"229,115,462,000",nhom-1,HDB
2-2022,"5,406,328,000",nhom-2,HDB
2-2022,"1,139,465,000",nhom-3,HDB
2-2022,"1,063,876,000",nhom-4,HDB
2-2022,"963,291,000",nhom-5,HDB
2-2022,"202,646,391,000",nhom-1,LVB
2-2022,"2,149,163,000",nhom-2,LVB
2-2022,"482,070,000",nhom-3,LVB
2-2022,"451,121,000",nhom-4,LVB
2-2022,"2,020,283,000",nhom-5,LVB
2-2022,"398,763,874,000",nhom-1,MBB
2-2022,"5,668,182,000",nhom-2,MBB
2-2022,"1,981,317,000",nhom-3,MBB
2-2022,"1,167,832,000",nhom-4,MBB
2-2022,"1,826,595,000",nhom-5,MBB
2-2022,"107,888,092,000",nhom-1,MSB
2-2022,"920,245,000",nhom-2,MSB
2-2022,"265,511,000",nhom-3,MSB
2-2022,"457,406,000",nhom-4,MSB
2-2022,"939,590,000",nhom-5,MSB
2-2022,"104,541,601,668",nhom-1,OCB
2-2022,"2,931,269,004",nhom-2,OCB
2-2022,"526,735,712",nhom-3,OCB
2-2022,"685,784,855",nhom-4,OCB
2-2022,"931,647,169",nhom-5,OCB
2-2022,"407,660,579,000",nhom-1,STB
2-2022,"1,618,291,000",nhom-2,STB
2-2022,"417,893,000",nhom-3,STB
2-2022,"622,849,000",nhom-4,STB
2-2022,"4,242,021,000",nhom-5,STB
2-2022,"143,092,487,000",nhom-1,SSB
2-2022,"351,507,000",nhom-2,SSB
2-2022,"541,268,000",nhom-3,SSB
2-2022,"404,458,000",nhom-4,SSB
2-2022,"1,447,113,000",nhom-5,SSB
2-2022,"387,394,959,000",nhom-1,TCB
2-2022,"2,069,517,000",nhom-2,TCB
2-2022,"509,320,000",nhom-3,TCB
2-2022,"890,753,000",nhom-4,TCB
2-2022,"959,253,000",nhom-5,TCB
2-2022,"147,482,310,000",nhom-1,TPB
2-2022,"2,315,896,000",nhom-2,TPB
2-2022,"406,238,000",nhom-3,TPB
2-2022,"430,524,000",nhom-4,TPB
2-2022,"448,696,000",nhom-5,TPB
