Date,Close,Open,Highest,Lowest,KL,Change(%),Bank
2023-03-16,24650.0,24550.0,24900.0,24350.0,3010000.0,0.0,TPB
2023-03-15,24650.0,24600.0,25100.0,24300.0,9040000.0,1.86,TPB
2023-03-14,24200.0,24450.0,24450.0,23850.0,6720000.0,-0.41,TPB
2023-03-13,24300.0,23700.0,24600.0,23650.0,6640000.0,1.25,TPB
2023-03-10,24000.0,24200.0,24450.0,23900.0,2710000.0,-2.04,TPB
2023-03-09,24500.0,24000.0,24550.0,23900.0,7710000.0,2.3,TPB
2023-03-08,23950.0,23400.0,24000.0,23300.0,5410000.0,1.91,TPB
2023-03-07,23500.0,23700.0,23800.0,23400.0,1780000.0,0.21,TPB
2023-03-06,23450.0,23600.0,23950.0,23450.0,2320000.0,0.21,TPB
2023-03-03,23400.0,23800.0,24050.0,23400.0,2870000.0,-1.68,TPB
2023-03-02,23800.0,24000.0,24200.0,23800.0,2700000.0,-0.83,TPB
2023-03-01,24000.0,23250.0,24100.0,23100.0,4260000.0,3.0,TPB
2023-02-28,23300.0,23400.0,23600.0,23300.0,2089999.9999999998,0.22,TPB
2023-02-27,23250.0,23300.0,23600.0,23050.0,3120000.0,-1.06,TPB
2023-02-24,23500.0,24000.0,24200.0,23500.0,2350000.0,-2.08,TPB
2023-02-23,24000.0,23700.0,24000.0,23300.0,4540000.0,1.91,TPB
2023-02-22,23550.0,24500.0,24600.0,23550.0,4050000.0,-5.04,TPB
2023-02-21,24800.0,24700.0,25100.0,24300.0,11400000.0,0.81,TPB
2023-02-20,24600.0,23850.0,24600.0,23800.0,8700000.0,3.14,TPB
2023-02-17,23850.0,24100.0,24100.0,23700.0,4450000.0,-0.63,TPB
2023-02-16,24000.0,23900.0,24000.0,23650.0,3650000.0,0.84,TPB
2023-02-15,23800.0,23550.0,24350.0,23450.0,6780000.0,1.28,TPB
2023-02-14,23500.0,23400.0,23600.0,23300.0,2690000.0,2.17,TPB
2023-02-13,23000.0,23550.0,23700.0,22750.0,4330000.0,-2.34,TPB
2023-02-10,23550.0,24250.0,24500.0,23550.0,4090000.0,-2.89,TPB
2023-02-09,24250.0,24500.0,25150.0,24250.0,10390000.0,-1.42,TPB
2023-02-08,24600.0,24900.0,24900.0,24400.0,6010000.0,0.82,TPB
2023-02-07,24400.0,24200.0,24950.0,24050.0,17620000.0,1.24,TPB
2023-02-06,24100.0,23800.0,24200.0,23750.0,4560000.0,0.42,TPB
2023-02-03,24000.0,24000.0,24000.0,23550.0,5940000.0,0.42,TPB
2023-02-02,23900.0,23800.0,24100.0,23500.0,8029999.999999999,0.84,TPB
2023-02-01,23700.0,25000.0,25400.0,23300.0,14500000.0,-5.2,TPB
2023-01-31,25000.0,23950.0,25000.0,23450.0,16660000.0,4.6,TPB
2023-01-30,23900.0,24500.0,24500.0,23800.0,8369999.999999999,-2.45,TPB
2023-01-27,24500.0,24300.0,24800.0,24000.0,12820000.0,2.08,TPB
2023-01-19,24000.0,23400.0,24150.0,23250.0,13450000.0,1.69,TPB
2023-01-18,23600.0,23050.0,23800.0,23050.0,10090000.0,2.61,TPB
2023-01-17,23000.0,22200.0,23000.0,22100.0,13160000.0,4.55,TPB
2023-01-16,22000.0,22400.0,22500.0,22000.0,2960000.0,-1.79,TPB
2023-01-13,22400.0,22500.0,22550.0,22200.0,4920000.0,0.0,TPB
2023-01-12,22400.0,22600.0,22600.0,22250.0,2069999.9999999998,-0.22,TPB
2023-01-11,22450.0,22400.0,22850.0,22350.0,5230000.0,-0.22,TPB
2023-01-10,22500.0,22800.0,22800.0,22300.0,2900000.0,0.0,TPB
2023-01-09,22500.0,22550.0,22950.0,22300.0,4160000.0,0.0,TPB
2023-01-06,22500.0,22550.0,23100.0,22300.0,5810000.0,-0.22,TPB
2023-01-05,22550.0,22000.0,22800.0,21850.0,7500000.0,2.5,TPB
2023-01-04,22000.0,22150.0,22350.0,21650.0,4380000.0,0.46,TPB
2023-01-03,21900.0,21050.0,21900.0,21050.0,2330000.0,4.04,TPB
2022-12-30,21050.0,21550.0,21550.0,21050.0,3250000.0,-1.64,TPB
2022-12-29,21400.0,21500.0,21550.0,21200.0,3160000.0,0.0,TPB
2022-12-28,21400.0,21050.0,21450.0,20650.0,2830000.0,1.66,TPB
2022-12-27,21050.0,20550.0,21300.0,20550.0,2800000.0,0.24,TPB
2022-12-26,21000.0,21850.0,22100.0,20600.0,3120000.0,-4.55,TPB
2022-12-23,22000.0,22400.0,22400.0,21850.0,2280000.0,-1.57,TPB
2022-12-22,22350.0,21900.0,22500.0,21600.0,6220000.0,3.47,TPB
2022-12-21,21600.0,22250.0,22400.0,21450.0,3510000.0,-1.82,TPB
2022-12-20,22000.0,22450.0,22450.0,21250.0,9970000.0,-2.22,TPB
2022-12-19,22500.0,22950.0,23300.0,22500.0,7140000.0,-2.17,TPB
2022-12-16,23000.0,22750.0,23550.0,22500.0,4770000.0,0.0,TPB
2022-12-15,23000.0,22650.0,23600.0,22500.0,13100000.0,0.88,TPB
2022-12-14,22800.0,23400.0,23400.0,22600.0,5660000.0,-0.87,TPB
2022-12-13,23000.0,22600.0,23000.0,22500.0,9690000.0,0.44,TPB
2022-12-12,22900.0,22750.0,23200.0,22300.0,14480000.0,1.78,TPB
2022-12-09,22500.0,22200.0,23000.0,21800.0,13270000.0,2.27,TPB
2022-12-08,22000.0,21350.0,22400.0,20800.0,20800000.0,5.01,TPB
2022-12-07,20950.0,21500.0,21800.0,20750.0,8890000.0,-3.01,TPB
2022-12-06,21600.0,23000.0,23150.0,21600.0,11610000.0,-6.7,TPB
2022-12-05,23150.0,23200.0,24000.0,22950.0,16149999.999999998,1.54,TPB
2022-12-02,22800.0,21500.0,22800.0,21200.0,8250000.0,4.59,TPB
2022-12-01,21800.0,22350.0,22750.0,21600.0,15160000.0,-0.91,TPB
2022-11-30,22000.0,21700.0,22500.0,20850.0,12990000.0,2.33,TPB
2022-11-29,21500.0,21300.0,21600.0,20700.0,9290000.0,2.38,TPB
2022-11-28,21000.0,20500.0,21300.0,20050.0,12700000.0,3.45,TPB
2022-11-25,20300.0,20200.0,20350.0,19750.0,3040000.0,1.5,TPB
2022-11-24,20000.0,20100.0,20250.0,19200.0,4810000.0,0.0,TPB
2022-11-23,20000.0,20350.0,20800.0,19900.0,2890000.0,-3.15,TPB
2022-11-22,20650.0,20500.0,21200.0,20150.0,5490000.0,0.24,TPB
2022-11-21,20600.0,20700.0,20700.0,20000.0,3200000.0,0.0,TPB
2022-11-18,20600.0,20600.0,20900.0,20150.0,2040000.0,-1.2,TPB
2022-11-17,20850.0,21300.0,21500.0,20450.0,5230000.0,0.0,TPB
2022-11-16,20850.0,18750.0,21000.0,18600.0,5540000.0,4.77,TPB
2022-11-15,19900.0,19400.0,19900.0,18350.0,5350000.0,1.02,TPB
2022-11-14,19700.0,19500.0,19750.0,19050.0,3210000.0,-1.01,TPB
2022-11-11,19900.0,20500.0,20500.0,19200.0,3740000.0,0.0,TPB
2022-11-10,19900.0,20050.0,20100.0,19000.0,2990000.0,-1.49,TPB
2022-11-09,20200.0,20700.0,21000.0,20100.0,2800000.0,-1.46,TPB
2022-11-08,20500.0,19700.0,20700.0,19500.0,4240000.0,1.99,TPB
2022-11-07,20100.0,21450.0,21450.0,20000.0,2520000.0,-5.63,TPB
2022-11-04,21300.0,21000.0,21300.0,19800.0,7370000.0,0.24,TPB
2022-11-03,21250.0,21350.0,22100.0,20850.0,3800000.0,-1.39,TPB
2022-11-02,21550.0,21800.0,22500.0,21550.0,4000000.0,-1.15,TPB
2022-11-01,21800.0,21000.0,22100.0,20900.0,5880000.0,5.31,TPB
2022-10-31,20700.0,21000.0,21000.0,20300.0,2830000.0,-0.72,TPB
2022-10-28,20850.0,21200.0,21500.0,20650.0,2780000.0,-0.71,TPB
2022-10-27,21000.0,19950.0,21000.0,19850.0,4340000.0,5.0,TPB
2022-10-26,20000.0,20200.0,20450.0,19800.0,1130000.0,-0.74,TPB
2022-10-25,20150.0,19700.0,20650.0,19300.0,3230000.0,0.0,TPB
2022-10-24,20150.0,20100.0,20150.0,18700.0,3260000.0,0.25,TPB
2022-10-21,20100.0,20600.0,20800.0,19350.0,2780000.0,-2.43,TPB
2022-10-20,20600.0,20300.0,20650.0,20000.0,1710000.0,0.24,TPB
2022-10-19,20550.0,20700.0,20700.0,20050.0,1720000.0,-0.24,TPB
2022-10-18,20600.0,20700.0,20950.0,20400.0,2520000.0,0.0,TPB
2022-10-17,20600.0,20100.0,20600.0,19400.0,4160000.0,0.0,TPB
2022-10-14,20600.0,20950.0,21050.0,20300.0,2180000.0,0.0,TPB
2022-10-13,20600.0,20500.0,20600.0,19700.0,3780000.0,0.49,TPB
2022-10-12,20500.0,18300.0,20500.0,18300.0,4640000.0,5.94,TPB
2022-10-11,19350.0,19350.0,20000.0,19350.0,9000000.0,-6.97,TPB
2022-10-10,20800.0,20800.0,21700.0,20800.0,2390000.0,-6.94,TPB
2022-10-07,22350.0,23050.0,23150.0,22350.0,2060000.0,-6.88,TPB
2022-10-06,24000.0,23900.0,24200.0,23000.0,3200000.0,0.0,TPB
2022-10-05,24000.0,24000.0,24150.0,23750.0,1210000.0,0.84,TPB
2022-10-04,23800.0,23900.0,24400.0,23750.0,958200.0,-0.21,TPB
2022-10-03,23850.0,25100.0,25100.0,23400.0,1600000.0,-4.6,TPB
2022-09-30,25000.0,24500.0,25100.0,23950.0,2069999.9999999998,1.21,TPB
2022-09-29,24700.0,24700.0,25000.0,24200.0,983500.0,0.2,TPB
2022-09-28,24650.0,24250.0,24750.0,23500.0,1530000.0,-1.0,TPB
2022-09-27,24900.0,24800.0,24900.0,24000.0,1140000.0,0.0,TPB
2022-09-26,24900.0,24700.0,24900.0,23700.0,1900000.0,-0.6,TPB
2022-09-23,25050.0,25350.0,25400.0,25000.0,1060000.0,-1.18,TPB
2022-09-22,25350.0,25000.0,25350.0,24800.0,604500.0,0.4,TPB
2022-09-21,25250.0,25000.0,25400.0,25000.0,675800.0,-0.59,TPB
2022-09-20,25400.0,25400.0,25400.0,24900.0,890600.0,1.6,TPB
2022-09-19,25000.0,26300.0,26300.0,24700.0,1440000.0,-4.94,TPB
2022-09-16,26300.0,26500.0,26850.0,26300.0,865600.0,-0.94,TPB
2022-09-15,26550.0,26650.0,27350.0,26500.0,797400.0,0.0,TPB
2022-09-14,26550.0,26500.0,26800.0,26250.0,953000.0,-1.12,TPB
2022-09-13,26850.0,27100.0,27100.0,26750.0,769200.0,-0.37,TPB
2022-09-12,26950.0,27000.0,27100.0,26800.0,822500.0,-0.19,TPB
2022-09-09,27000.0,27300.0,27300.0,26600.0,935700.0,0.37,TPB
2022-09-08,26900.0,27350.0,27400.0,26900.0,1410000.0,-1.47,TPB
2022-09-07,27300.0,27800.0,27900.0,27300.0,1750000.0,-2.5,TPB
2022-09-06,28000.0,28150.0,28150.0,27650.0,1350000.0,0.0,TPB
2022-09-05,28000.0,28500.0,28500.0,27750.0,1830000.0,0.0,TPB
2022-08-31,28000.0,27900.0,28150.0,27550.0,585300.0,0.36,TPB
2022-08-30,27900.0,28000.0,28200.0,27700.0,821500.0,0.72,TPB
2022-08-29,27700.0,28000.0,28100.0,27100.0,2029999.9999999998,-2.46,TPB
2022-08-26,28400.0,28850.0,28900.0,28350.0,1360000.0,-1.39,TPB
2022-08-25,28800.0,28450.0,28900.0,28150.0,1690000.0,2.49,TPB
2022-08-24,28100.0,28000.0,28250.0,27950.0,1180000.0,0.36,TPB
2022-08-23,28000.0,27500.0,28000.0,27500.0,1230000.0,0.36,TPB
2022-08-22,27900.0,28250.0,28300.0,27750.0,1460000.0,-1.76,TPB
2022-08-19,28400.0,28800.0,28800.0,28300.0,1460000.0,-1.05,TPB
2022-08-18,28700.0,28700.0,28800.0,28300.0,2089999.9999999998,0.0,TPB
2022-08-17,28700.0,28850.0,28950.0,28700.0,1320000.0,-0.52,TPB
2022-08-16,28850.0,29000.0,29050.0,28750.0,1400000.0,-0.35,TPB
2022-08-15,28950.0,28950.0,29300.0,28700.0,3270000.0,1.22,TPB
2022-08-12,28600.0,28650.0,28650.0,28350.0,1010000.0,0.35,TPB
2022-08-11,28500.0,28650.0,29100.0,28250.0,2560000.0,0.71,TPB
2022-08-10,28300.0,28700.0,28700.0,28250.0,1900000.0,-1.05,TPB
2022-08-09,28600.0,28950.0,28950.0,28400.0,2330000.0,0.18,TPB
2022-08-08,28550.0,28750.0,29150.0,28350.0,2290000.0,-0.87,TPB
2022-08-05,28800.0,28900.0,29200.0,28500.0,1920000.0,0.0,TPB
2022-08-04,28800.0,28500.0,29200.0,28250.0,5310000.0,2.86,TPB
2022-08-03,28000.0,27500.0,28100.0,27300.0,2570000.0,1.27,TPB
2022-08-02,27650.0,27300.0,27800.0,27300.0,2300000.0,1.47,TPB
2022-08-01,27250.0,27100.0,27450.0,27050.0,1940000.0,2.44,TPB
2022-07-29,26600.0,27600.0,27600.0,26600.0,3020000.0,-2.21,TPB
2022-07-28,27200.0,27050.0,27800.0,27050.0,2370000.0,0.93,TPB
2022-07-27,26950.0,27000.0,27100.0,26500.0,1620000.0,-0.19,TPB
2022-07-26,27000.0,27500.0,27600.0,27000.0,1260000.0,-1.46,TPB
2022-07-25,27400.0,27550.0,27900.0,27300.0,1370000.0,-2.32,TPB
2022-07-22,28050.0,28300.0,28650.0,27950.0,2450000.0,-0.88,TPB
2022-07-21,28300.0,28550.0,28650.0,28050.0,2610000.0,-0.53,TPB
2022-07-20,28450.0,27500.0,28500.0,27200.0,3080000.0,4.79,TPB
2022-07-19,27150.0,27300.0,27300.0,26750.0,807800.0,-0.37,TPB
2022-07-18,27250.0,27350.0,27500.0,27150.0,1340000.0,0.55,TPB
2022-07-15,27100.0,27000.0,27500.0,27000.0,1420000.0,0.74,TPB
2022-07-14,26900.0,26550.0,27050.0,26500.0,678000.0,0.94,TPB
2022-07-13,26650.0,26700.0,27500.0,26050.0,1520000.0,-0.19,TPB
2022-07-12,26700.0,26050.0,26750.0,26050.0,629500.0,2.69,TPB
2022-07-11,26000.0,27000.0,27100.0,26000.0,1300000.0,-4.06,TPB
