year,value,group,bank
2018,"28,088,650,000",tong-doanh-thu(*),ACB
2018,"6,388,571,000",tong-loi-nhuan-truoc-thue,ACB
2018,"21,099,263,000",tong-chi-phi,ACB
2018,"5,137,052,000",loi-nhuan-rong(**),ACB
2018,"329,333,241,000",tong-tai-san,ACB
2018,"236,453,762,000",tien-cho-vay,ACB
2018,"54,558,033,000",dau-tu-chung-khoan,ACB
2018,"155,975,000",gop-von-va-dau-tu-dai-han,ACB
2018,"287,172,307,000",tien-gui,ACB
2018,"21,017,899,000",von-va-cac-quy,ACB
2018,"102,455,178,000",tong-doanh-thu(*),BID
2018,"9,472,505,000",tong-loi-nhuan-truoc-thue,BID
2018,"59,891,334,000",tong-chi-phi,BID
2018,"7,357,869,000",loi-nhuan-rong(**),BID
2018,"1,313,037,674,000",tong-tai-san,BID
2018,"1,011,169,133,000",tien-cho-vay,BID
2018,"133,816,589,000",dau-tu-chung-khoan,BID
2018,"2,613,521,000",gop-von-va-dau-tu-dai-han,BID
2018,"1,011,735,647,000",tien-gui,BID
2018,"51,512,602,000",von-va-cac-quy,BID
2018,"83,408,003,000",tong-doanh-thu(*),CTG
2018,"6,730,402,000",tong-loi-nhuan-truoc-thue,CTG
2018,"70,125,993,000",tong-chi-phi,CTG
2018,"5,413,949,000",loi-nhuan-rong(**),CTG
2018,"1,164,434,735,000",tong-tai-san,CTG
2018,"869,161,114,000",tien-cho-vay,CTG
2018,"105,231,928,000",dau-tu-chung-khoan,CTG
2018,"3,317,405,000",gop-von-va-dau-tu-dai-han,CTG
2018,"899,758,043,000",tien-gui,CTG
2018,"67,159,255,000",von-va-cac-quy,CTG
2018,"11,563,469,000",tong-doanh-thu(*),EIB
2018,"827,128,000",tong-loi-nhuan-truoc-thue,EIB
2018,"10,165,835,000",tong-chi-phi,EIB
2018,"660,590,000",loi-nhuan-rong(**),EIB
2018,"152,652,063,000",tong-tai-san,EIB
2018,"104,343,229,000",tien-cho-vay,EIB
2018,"14,901,977,000",dau-tu-chung-khoan,EIB
2018,"129,265,263,000",tien-gui,EIB
2018,"14,883,534,000",von-va-cac-quy,EIB
2018,"17,987,065,000",tong-doanh-thu(*),HDB
2018,"4,004,628,000",tong-loi-nhuan-truoc-thue,HDB
2018,"9,310,877,000",tong-chi-phi,HDB
2018,"2,842,085,000",loi-nhuan-rong(**),HDB
2018,"216,057,406,000",tong-tai-san,HDB
2018,"124,862,030,000",tien-cho-vay,HDB
2018,"45,291,539,000",dau-tu-chung-khoan,HDB
2018,"164,931,000",gop-von-va-dau-tu-dai-han,HDB
2018,"150,897,842,000",tien-gui,HDB
2018,"15,635,164,000",von-va-cac-quy,HDB
2018,"14,245,678,000",tong-doanh-thu(*),LVB
2018,"1,212,941,000",tong-loi-nhuan-truoc-thue,LVB
2018,"12,416,532,000",tong-chi-phi,LVB
2018,"959,953,000",loi-nhuan-rong(**),LVB
2018,"175,094,532,000",tong-tai-san,LVB
