season,group,value,bank
1-2022,tong-doanh-thu(*),"10,509,931,000",ACB
1-2022,tong-loi-nhuan-truoc-thue,"4,114,005,000",ACB
1-2022,tong-chi-phi,"6,697,417,000",ACB
1-2022,loi-nhuan-rong(**)(**),"3,287,535,000",ACB
1-2022,tong-tai-san,"528,636,428,000",ACB
1-2022,tien-cho-vay,"382,943,670,000",ACB
1-2022,dau-tu-chung-khoan,"63,778,945,000",ACB
1-2022,gop-von-va-dau-tu-dai-han,"207,771,000",ACB
1-2022,tien-gui,"419,789,649,000",ACB
1-2022,von-va-cac-quy,"48,203,333,000",ACB
1-2022,tong-doanh-thu(*),"30,891,363,000",BID
1-2022,tong-loi-nhuan-truoc-thue,"4,513,501,000",BID
1-2022,tong-chi-phi,"19,570,787,000",BID
1-2022,loi-nhuan-rong(**)(**),"3,571,160,000",BID
1-2022,tong-tai-san,"1,847,704,434,000",BID
1-2022,tien-cho-vay,"1,440,725,854,000",BID
1-2022,dau-tu-chung-khoan,"3,274,752,000",BID
1-2022,gop-von-va-dau-tu-dai-han,"2,860,964,000",BID
1-2022,tien-gui,"1,485,213,911,000",BID
1-2022,von-va-cac-quy,"86,631,297,000",BID
1-2022,tong-doanh-thu(*),"26,739,830,000",CTG
1-2022,tong-loi-nhuan-truoc-thue,"5,822,496,000",CTG
1-2022,tong-chi-phi,"17,097,937,000",CTG
1-2022,loi-nhuan-rong(**)(**),"4,663,907,000",CTG
1-2022,tong-tai-san,"1,663,730,167,000",CTG
1-2022,tien-cho-vay,"1,252,686,768,000",CTG
1-2022,dau-tu-chung-khoan,"186,699,556,000",CTG
1-2022,gop-von-va-dau-tu-dai-han,"3,410,049,000",CTG
1-2022,tien-gui,"1,301,538,225,000",CTG
1-2022,von-va-cac-quy,"97,571,887,000",CTG
1-2022,tong-doanh-thu(*),"3,020,752,000",EIB
1-2022,tong-loi-nhuan-truoc-thue,"809,033,000",EIB
1-2022,tong-chi-phi,"2,250,702,000",EIB
1-2022,loi-nhuan-rong(**)(**),"647,228,000",EIB
1-2022,tong-tai-san,"172,343,012,000",EIB
1-2022,tien-cho-vay,"122,553,271,000",EIB
1-2022,dau-tu-chung-khoan,"14,113,943,000",EIB
1-2022,tien-gui,"151,139,584,000",EIB
1-2022,von-va-cac-quy,"18,449,045,000",EIB
1-2022,tong-doanh-thu(*),"7,968,666,000",HDB
1-2022,tong-loi-nhuan-truoc-thue,"2,527,515,000",HDB
1-2022,tong-chi-phi,"5,141,790,000",HDB
1-2022,loi-nhuan-rong(**)(**),"1,918,399,000",HDB
1-2022,tong-tai-san,"381,046,023,000",HDB
1-2022,tien-cho-vay,"225,453,895,000",HDB
1-2022,dau-tu-chung-khoan,"70,541,665,000",HDB
1-2022,gop-von-va-dau-tu-dai-han,"143,331,000",HDB
1-2022,tien-gui,"254,224,982,000",HDB
1-2022,von-va-cac-quy,"30,952,773,000",HDB
1-2022,tong-doanh-thu(*),"6,282,292,000",LVB
1-2022,tong-loi-nhuan-truoc-thue,"1,795,411,000",LVB
1-2022,tong-chi-phi,"4,151,094,000",LVB
1-2022,loi-nhuan-rong(**)(**),"1,420,783,000",LVB
1-2022,tong-tai-san,"284,918,135,000",LVB
1-2022,tien-cho-vay,"208,599,678,000",LVB
1-2022,dau-tu-chung-khoan,"41,641,243,000",LVB
1-2022,tien-gui,"206,603,229,000",LVB
1-2022,von-va-cac-quy,"20,396,638,584",LVB
1-2022,tong-doanh-thu(*),"33,094,293,000",MBB
1-2022,tong-loi-nhuan-truoc-thue,"7,767,373,000",MBB
1-2022,tong-chi-phi,"26,071,977,000",MBB
1-2022,loi-nhuan-rong(**),"6,112,714,000",MBB
1-2022,tong-tai-san,"362,325,062,000",MBB
1-2022,tien-cho-vay,"224,580,157,000",MBB
1-2022,dau-tu-chung-khoan,"74,308,986,000",MBB
1-2022,gop-von-va-dau-tu-dai-han,"728,043,000",MBB
1-2022,tien-gui,"280,657,250,000",MBB
1-2022,von-va-cac-quy,"32,643,154,000",MBB
1-2022,tong-doanh-thu(*),"3,569,877,000",MSB
1-2022,tong-loi-nhuan-truoc-thue,"1,494,917,000",MSB
1-2022,tong-chi-phi,"2,254,062,000",MSB
1-2022,loi-nhuan-rong(**)(**),"1,149,143,000",MSB
1-2022,tong-tai-san,"195,740,713,000",MSB
1-2022,tien-cho-vay,"54,109,765,000",MSB
1-2022,dau-tu-chung-khoan,"23,487,000",MSB
1-2022,gop-von-va-dau-tu-dai-han,"10,036,000",MSB
1-2022,tien-gui,"126,042,522,000",MSB
1-2022,von-va-cac-quy,"23,114,849,000",MSB
1-2022,tong-doanh-thu(*),"3,485,514,004",OCB
1-2022,tong-loi-nhuan-truoc-thue,"835,706,003",OCB
1-2022,tong-chi-phi,"2,367,566,657",OCB
1-2022,loi-nhuan-rong(**)(**),"668,258,666",OCB
1-2022,tong-tai-san,"187,748,480,030",OCB
1-2022,tien-cho-vay,"107,541,885,502",OCB
1-2022,dau-tu-chung-khoan,"41,956,041,229",OCB
1-2022,tien-gui,"128,725,504,917",OCB
1-2022,von-va-cac-quy,"22,472,101,671",OCB
1-2022,tong-doanh-thu(*),"10,178,800,000",STB
1-2022,tong-loi-nhuan-truoc-thue,"1,588,946,000",STB
1-2022,tong-chi-phi,"8,180,785,000",STB
1-2022,loi-nhuan-rong(**)(**),"1,274,076,000",STB
1-2022,tong-tai-san,"552,539,011,000",STB
1-2022,tien-cho-vay,"413,649,168,000",STB
1-2022,dau-tu-chung-khoan,"73,320,764,000",STB
1-2022,gop-von-va-dau-tu-dai-han,"88,968,000",STB
